model,type,mask,base_auc,auc_drop
GRU,feature,feat0,0.6640281609766087,0.03837425330968869
GRU,feature,feat1,0.6640281609766087,0.12060597476544221
GRU,feature,feat2,0.6640281609766087,0.002544915736673481
GRU,timestep,time5,0.6640281609766087,0.01387296421249784
GRU,timestep,time6,0.6640281609766087,0.012462871214926508
GRU,timestep,time7,0.6640281609766087,0.01225472564756036
GRU,timestep,time8,0.6640281609766087,0.01156567909783801
GRU,timestep,time9,0.6640281609766087,0.005897202094208076
Transformer,feature,feat0,0.6665420394929741,0.02575949225081675
Transformer,feature,feat1,0.6665420394929741,0.1031075506553224
Transformer,feature,feat2,0.6665420394929741,0.0018897929174909178
Transformer,timestep,time5,0.6665420394929741,0.01354458825866034
Transformer,timestep,time6,0.6665420394929741,0.011514924499326451
Transformer,timestep,time7,0.6665420394929741,0.011888938540926763
Transformer,timestep,time8,0.6665420394929741,0.012138789230663471
Transformer,timestep,time9,0.6665420394929741,0.006340266182549459
