sponsor,n_samples,auc
4D pharma plc,7,0.8333333333333334
"AB Biotics, SA",22,0.4305555555555556
ADC Therapeutics S.A.,19,0.32142857142857145
AEterna Zentaris,33,0.6293103448275863
AHEPA University Hospital,31,0.39655172413793105
ALX Oncology Inc.,8,0.16666666666666669
AM-Pharma,11,0.43333333333333335
AO Innovation Translation Center,29,0.31
APR Applied Pharma Research s.a.,13,0.3888888888888889
ARCAGY/ GINECO GROUP,47,0.627906976744186
ASTORA Women's Health,6,0.888888888888889
AbGenomics B.V Taiwan Branch,6,1.0
Abbott Nutrition,151,0.5385496183206107
Acandis GmbH,8,0.0
Ache Laboratorios Farmaceuticos S.A.,30,0.3950892857142857
"Aclaris Therapeutics, Inc.",34,0.4166666666666667
Advanz Pharma,9,0.4285714285714286
Affimed GmbH,8,0.0
Agouron Pharmaceuticals,5,0.33333333333333337
"AiViva BioPharma, Inc.",5,0.0
Ajou University School of Medicine,165,0.5667701863354038
Akesobio Australia Pty Ltd,8,0.4285714285714286
Aktiia SA,10,0.2222222222222222
Albert Einstein Healthcare Network,60,0.4872685185185185
Algemeen Ziekenhuis Maria Middelares,32,0.05357142857142855
AlgiPharma AS,5,0.8333333333333334
Allena Pharmaceuticals,11,0.33333333333333337
Allergan,505,0.6574248120300752
Alliance for Clinical Trials in Oncology,493,0.6400587163393399
Allina Health System,38,0.5253456221198156
AlloSource,7,0.0
"Alza Corporation, DE, USA",18,0.4375
American Academy of Family Physicians,5,0.0
Amorphical Ltd.,8,0.13333333333333336
"Amsterdam UMC, location VUmc",291,0.6669482933423454
"AnaptysBio, Inc.",15,0.5
Anchiano Therapeutics Israel Ltd.,5,0.5
Andalusian Initiative for Advanced Therapies - Fundación Pública Andaluza Progreso y Salud,19,0.5208333333333334
"Andrew Hendifar, MD",5,0.0
Andrews Research & Education Foundation,17,0.28571428571428575
Angiochem Inc,6,0.0
"Angiodynamics, Inc.",15,0.5
"Anhui Zhifei Longcom Biologic Pharmacy Co., Ltd.",46,0.24444444444444446
Ankara City Hospital Bilkent,293,0.7363013698630136
Ankara Yildirim Beyazıt University,171,0.03529411764705881
Apifix,5,0.16666666666666669
"Apollo Endosurgery, Inc.",7,0.4
Apsen Farmaceutica S.A.,9,0.11111111111111108
Aquinox Pharmaceuticals (Canada) Inc.,6,0.0
"Aravive, Inc.",5,0.75
Arbutus Biopharma Corporation,10,0.3333333333333333
Ardelyx,27,0.6538461538461539
Arizona State University,214,0.6571969696969697
"Array Biopharma, now a wholly owned subsidiary of Pfizer",24,0.775
Asir John Samuel,25,0.5757575757575757
Asklepios proresearch,12,0.3333333333333333
Atara Biotherapeutics,6,0.5
"Atea Pharmaceuticals, Inc.",29,0.32999999999999996
Australian and New Zealand Intensive Care Research Centre,45,0.6136363636363636
Austrian Breast & Colorectal Cancer Study Group,18,0.1777777777777778
"Avinger, Inc.",7,0.09999999999999998
Azienda Ospedaliera Universitaria Integrata Verona,86,0.39634146341463417
Azienda Ospedaliero-Universitaria Careggi,69,0.4494949494949495
Azienda Policlinico Umberto I,25,0.08333333333333337
B. Braun Medical Inc.,10,0.5416666666666667
Bakirkoy Dr. Sadi Konuk Research and Training Hospital,97,0.27083333333333337
Baltimore VA Medical Center,18,0.25
Bangor University,13,0.0
"Banyan Biomarkers, Inc",8,0.0
Barts & The London NHS Trust,146,0.47222222222222215
Basilea Pharmaceutica,46,0.4333333333333333
Bayside Health,105,0.6331018518518519
"Beckman Coulter, Inc.",29,0.962962962962963
Beijing Tiantan Hospital,352,0.9401709401709402
BelkinVision,5,0.5
Benno Rehberg-Klug,8,0.1428571428571429
"Bernardino Clavo, MD, PhD",7,0.5
Bezmialem Vakif University,293,0.5243055555555556
Bial - Portela C S.A.,132,0.4551181102362205
BioNTech SE,58,0.40896358543417366
Biodel,15,0.0
Bioiberica,12,0.18181818181818177
"Biomet Orthopedics, LLC",16,0.41818181818181815
Bionovo,7,0.0
Bioprojet,27,0.5434782608695653
Bioray Laboratories,21,0.5666666666666667
Biota Scientific Management Pty Ltd,8,0.0
Biotec Pharmacon ASA,8,0.0
"Biotech Pharmaceutical Co., Ltd.",26,0.5652173913043478
Biotronik AG,39,0.4357142857142857
Birte Glenthoj,6,0.0
Blueprint Medicines Corporation,23,0.6578947368421053
Borstkanker Onderzoek Groep,7,0.0
Boston Children's Hospital,569,0.5769268532155131
Boston University,265,0.4702465623518255
Boston University Charles River Campus,125,0.6004784688995216
Bournemouth University,46,0.47619047619047616
Brighton and Sussex University Hospitals NHS Trust,21,0.46296296296296297
Bristol-Myers Squibb,1444,0.5163030507711359
Buckinghamshire Healthcare NHS Trust,7,0.0
Butler Hospital,111,0.5075471698113208
C. R. Bard,98,0.49085365853658536
CENTOGENE GmbH Rostock,56,0.7523056653491437
CMC Ambroise Paré,42,0.49158249158249157
CONRAD,36,0.6857142857142857
"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",145,0.504102564102564
CStone Pharmaceuticals,26,0.6799999999999999
Can-Fite BioPharma,20,0.4705882352941176
CanSino Biologics Inc.,34,0.4623655913978494
Canadian Forces Health Services Centre Ottawa,7,0.09999999999999998
Canandaigua VA Medical Center,9,0.07142857142857145
"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",256,0.6313725490196078
CancerCare Manitoba,10,0.08333333333333334
Cantonal Hospital of St. Gallen,73,0.46969696969696967
CardioFocus,9,0.375
CardioKine Inc.,6,0.19999999999999996
Cardioangiologisches Centrum Bethanien,12,0.36363636363636365
Cardiochirurgia E.H.,13,0.7727272727272727
Carelon Research,54,0.5570652173913043
"Carevive Systems, Inc.",11,0.19999999999999996
Carmel Medical Center,117,0.5637860082304527
Carrick Institute for Graduate Studies,16,0.5272727272727272
Catabasis Pharmaceuticals,12,0.8181818181818181
Catholic University of the Sacred Heart,220,0.5615264797507789
"Cellid Co., Ltd.",7,0.0
"CeloNova BioSciences, Inc.",5,0.0
Center for Human Reproduction,12,0.84375
"Centocor, Inc.",70,0.5546875
Central European Cooperative Oncology Group,11,0.26666666666666666
Central Finland Hospital District,14,0.15384615384615385
"Central Hospital, Nancy, France",735,0.43068982467638867
Central Jutland Regional Hospital,28,0.7692307692307692
Centre Cardiologique du Nord,8,0.1428571428571429
Centre Hospitalier Departemental Vendee,75,0.44279661016949157
Centre Hospitalier Henri Duffaut - Avignon,7,0.4
Centre Hospitalier Régional Metz-Thionville,108,0.6094276094276094
Centre Hospitalier Régional d'Orléans,112,0.6377708978328174
Centre Hospitalier Universitaire Vaudois,190,0.5202312138728324
Centre de Recherche de l'Institut Universitaire en santé Mentale de Montréal,7,0.0
Centre de Recherches et d'Etude sur la Pathologie Tropicale et le Sida,18,0.11764705882352944
Centre for Infectious Disease Research in Zambia,24,0.34782608695652173
Centre for the AIDS Programme of Research in South Africa,15,0.2692307692307692
Changhai Hospital,314,0.4972943722943723
"Charles University, Czech Republic",190,0.6149732620320856
"Chia Tai Tianqing Pharmaceutical Group Co., Ltd.",285,0.26602282704126423
Children's & Women's Health Centre of British Columbia,9,0.14285714285714285
Children's Cancer Hospital Egypt 57357,15,0.46153846153846156
Children's Hospital Los Angeles,144,0.5986328125
Children's Hospital of Philadelphia,459,0.6510036496350364
Children's Mercy Hospital Kansas City,205,0.5168705969595847
Chr Hansen,12,0.09090909090909094
Christiana Care Health Services,90,0.5092592592592593
Chroma Therapeutics,7,0.16666666666666663
Clalit Health Services,43,0.35365853658536583
Claudia Spies,11,0.20833333333333331
"Clearside Biomedical, Inc.",13,0.2272727272727273
Cleveland Clinic Akron General,5,0.0
ClinAmygate,15,0.0714285714285714
Clover Biopharmaceuticals AUS Pty,15,0.5357142857142857
"Cohera Medical, Inc.",8,0.4166666666666667
Coloplast A/S,141,0.5013986013986014
Complexo Hospitalario Universitario de A Coruña,9,0.25
Connect Biopharm LLC,11,0.2777777777777778
"ContraVir Pharmaceuticals, Inc.",5,0.0
Cook Group Incorporated,70,0.5254237288135593
Cook Research Incorporated,28,0.14814814814814814
"Coordinación de Investigación en Salud, Mexico",91,0.4539295392953929
CorEvitas,20,0.6842105263157895
Cordis Corporation,72,0.544921875
"Cortice Biosciences, Inc.",5,0.75
"Corvus Pharmaceuticals, Inc.",8,0.7142857142857143
Cosmetique Active International,50,0.8229166666666666
"Craig L Slingluff, Jr",23,0.37500000000000006
"Criterium, Inc.",12,0.25
"CytoDyn, Inc.",20,0.19607843137254902
Cytori Therapeutics,16,0.6333333333333334
D'Or Institute for Research and Education,38,0.027027027027026973
"DSM Nutritional Products, Inc.",40,0.19819819819819817
"DUSA Pharmaceuticals, Inc.",10,0.0
Daewoong Pharmaceutical Co. LTD.,182,0.5156976744186046
"Dalarna County Council, Sweden",21,0.6
Damascus Hospital,6,0.25
Danderyd Hospital,53,0.5051020408163265
"Danone Asia Pacific Holdings Pte, Ltd.",25,0.4404761904761905
Dartmouth-Hitchcock Medical Center,459,0.566328958999116
"David Rizzieri, MD",8,0.3333333333333333
Dayanand Medical College and Hospital,7,0.0
DePuy Spine,10,0.0
Dendreon,19,0.49999999999999994
Dentsply Sirona Implants and Consumables,32,0.5172413793103448
DiaMedica Therapeutics Inc,6,0.6
"Dicerna Pharmaceuticals, Inc., a Novo Nordisk company",16,0.6041666666666667
Dompé Farmaceutici S.p.A,47,0.5126262626262627
Dorte Nielsen,5,0.33333333333333337
Dosentrx Ltd.,5,0.0
Dr. Grace Parraga,5,0.25
Drugs for Neglected Diseases,56,0.5336538461538461
Duomed,11,0.20833333333333331
Duramed Research,23,0.18181818181818177
Dutch Colorectal Cancer Group,8,0.0
"DynPort Vaccine Company LLC, A GDIT Company",8,0.5
E-DA Hospital,32,0.4022988505747126
ECOG-ACRIN Cancer Research Group,115,0.48868778280542985
ECRI bv,14,0.4242424242424242
EMS,79,0.646011396011396
EVIVE Biotechnology,10,0.5
Eastbourne General Hospital,9,0.25
Eiger BioPharmaceuticals,11,0.0
"Eisai Co., Ltd.",150,0.5510204081632653
"Eko Devices, Inc.",11,0.0
ElMindA Ltd,19,0.3529411764705882
Eli Lilly and Company,1937,0.532088523269505
Elsan,58,0.37500000000000006
Elysium Health,7,0.39999999999999997
Emory University,1319,0.5852463094395945
"Enanta Pharmaceuticals, Inc",41,0.44594594594594594
Endo Pharmaceuticals,105,0.45721583652618136
EndoCeutics Inc.,8,0.5
Endocrine Research Society,10,0.25
Endocyte,28,0.6212121212121212
Enlivex Therapeutics Ltd.,5,0.0
Ensoma,5,0.33333333333333337
"Epic Research & Diagnostics, Inc.",5,0.25
Esanex Inc.,11,0.6785714285714286
"Escient Pharmaceuticals, Inc",5,0.0
"Ethicon, Inc.",65,0.5042016806722689
Europainclinics z.ú.,12,1.0
European Society for Blood and Marrow Transplantation,27,0.6111111111111112
"Evelo Biosciences, Inc.",9,0.2142857142857143
Ever Neuro Pharma GmbH,8,0.6
Exactech,16,0.7272727272727273
Exelixis,48,0.5063025210084033
Eyetech Pharmaceuticals,9,0.4285714285714286
F2G Biotech GmbH,19,0.4428571428571429
FHI 360,57,0.48379629629629634
Faculty Hospital Kralovske Vinohrady,26,0.24
"Faes Farma, S.A.",16,0.19999999999999996
Fayoum University Hospital,60,0.3706896551724138
"Federal Research Clinical Center of Federal Medical & Biological Agency, Russia",11,0.19999999999999996
Federal University of Mato Grosso,14,0.625
FeetMe,5,0.0
