split,model,roc_path,pr_path,reliability_path,auc,pr_auc,ece,brier
val,Baseline-3F+trends,results/plots_smartgencon\roc_val_Baseline-3F+trends.svg,results/plots_smartgencon\pr_val_Baseline-3F+trends.svg,results/plots_smartgencon\reliability_val_Baseline-3F+trends.svg,,,,
val,Baseline-7F+trends,results/plots_smartgencon\roc_val_Baseline-7F+trends.svg,results/plots_smartgencon\pr_val_Baseline-7F+trends.svg,results/plots_smartgencon\reliability_val_Baseline-7F+trends.svg,,,,
val,GRU-9ch,results/plots_smartgencon\roc_val_GRU-9ch.svg,results/plots_smartgencon\pr_val_GRU-9ch.svg,results/plots_smartgencon\reliability_val_GRU-9ch.svg,,,,
val,Transformer-9ch,results/plots_smartgencon\roc_val_Transformer-9ch.svg,results/plots_smartgencon\pr_val_Transformer-9ch.svg,results/plots_smartgencon\reliability_val_Transformer-9ch.svg,,,,
val,Combined-9+4,results/plots_smartgencon\roc_val_Combined-9+4.svg,results/plots_smartgencon\pr_val_Combined-9+4.svg,results/plots_smartgencon\reliability_val_Combined-9+4.svg,,,,
val,Baseline-3F+trends [metrics],,,,0.647,0.303,0.295,0.2345
val,Baseline-7F+trends [metrics],,,,0.654,0.308,0.288,0.2312
val,GRU-9ch [metrics],,,,0.66,0.308,0.337,0.2622
val,Transformer-9ch [metrics],,,,0.657,0.312,0.336,0.2631
val,Combined-9+4 [metrics],,,,0.663,0.314,0.319,0.251
val,Baseline-3F+trends [group=0],,,,,,0.302,0.2184
val,Baseline-3F+trends [group=1],,,,,,0.349,0.2181
val,Baseline-3F+trends [group=3],,,,,,0.277,0.2585
val,Baseline-7F+trends [group=0],,,,,,0.29,0.2119
val,Baseline-7F+trends [group=1],,,,,,0.301,0.1912
val,Baseline-7F+trends [group=3],,,,,,0.284,0.2639
val,GRU-9ch [group=0],,,,,,0.322,0.233
val,GRU-9ch [group=1],,,,,,0.4,0.2622
val,GRU-9ch [group=3],,,,,,0.344,0.3001
val,Transformer-9ch [group=0],,,,,,0.319,0.2329
val,Transformer-9ch [group=1],,,,,,0.406,0.2687
val,Transformer-9ch [group=3],,,,,,0.344,0.3014
val,Combined-9+4 [group=0],,,,,,0.311,0.227
val,Combined-9+4 [group=1],,,,,,0.279,0.1795
val,Combined-9+4 [group=3],,,,,,0.336,0.2956
