feature,mean_abs_shap
X_prior_fail_rate,0.3096328333043801
X_masking_norm__1,0.09445146710970488
X_intv_diversity_last5,0.08819847376631124
X_prior_fail_rate_last3,0.07815367795462332
X_enroll_z_mean,0.06995402468994373
X_masking_norm__5,0.06093402778355597
X_allocation_norm__1,0.06001227446797298
X_masking_norm__2,0.059804948825497396
X_allocation_norm__2,0.04713590919216778
X_gap_mean_last3,0.03834952304371984
X_primary_purpose_norm__9,0.03395598331121644
X_masking_norm__4,0.03387844394331538
X_intv_type_norm__13,0.026353936418832196
X_intv_type_norm__12,0.019527865660298415
X_hist_len,0.01950619446627822
X_intv_type_norm__3,0.019256992014634284
X_phase_enc_mean,0.0177904343102635
X_phase_enc_last,0.016639066164525915
X_primary_purpose_norm__10,0.014704274378185373
X_phase_prog_last3,0.012618189961789024
X_enroll_slope_last3,0.012128282013378863
X_masking_norm__0,0.011749570376932599
X_intv_type_norm__2,0.009441741911095905
X_primary_purpose_norm__6,0.00890235284238661
X_intv_type_norm__19,0.006931123337992248
X_intv_type_norm__11,0.004576991286466902
X_primary_purpose_norm__5,0.0045552594376403336
X_intv_type_norm__17,0.004321791643171157
X_primary_purpose_norm__2,0.004270924489936532
X_masking_norm__3,0.004196329080403968
X_primary_purpose_norm__0,0.002865784595319424
X_primary_purpose_norm__8,0.002814043925165154
X_enroll_delta_last3,0.0021542899580648278
X_intv_type_norm__6,0.001814525725072597
X_allocation_norm__0,0.0017182025081840177
X_gap_months_mean,0.0015001810197649266
X_intv_type_norm__1,0.001056317794622388
X_intv_type_norm__16,0.0010191963624267704
X_intv_type_norm__0,0.0008754153269727942
X_intv_type_norm__20,0.0008090069025936708
X_intv_type_norm__18,0.0007658143252717816
X_intv_type_norm__7,0.0006767288310627749
X_intv_type_norm__8,0.00048632841761638
X_intv_type_norm__5,0.0002668694637564524
X_intv_type_norm__4,0.00021278673816644064
X_primary_purpose_norm__7,8.811062635902002e-05
X_intv_type_norm__10,6.937777873498093e-05
X_intv_type_norm__15,6.529447501765859e-05
X_intv_type_norm__14,6.251575664191596e-05
X_primary_purpose_norm__3,3.712106760187165e-05
X_intv_type_norm__9,3.443316915656742e-05
X_primary_purpose_norm__4,3.330899336599466e-05
X_primary_purpose_norm__1,1.8207420124629425e-05
