sponsor,trial_id,label,pred_prob,feat_phase_enc,feat_enroll_z,feat_gap_months,feat_prior_fail_rate_last3,feat_enroll_delta_last3,feat_enroll_slope_last3,feat_phase_prog_last3,feat_gap_mean_last3,feat_intv_diversity_last5,shap_phase_enc,shap_enroll_z,shap_gap_months,shap_prior_fail_rate_last3,shap_enroll_delta_last3,shap_enroll_slope_last3,shap_phase_prog_last3,shap_gap_mean_last3,shap_intv_diversity_last5
National Institute of Allergy and Infectious Diseases (NIAID),trial_56982,0.0,0.35122484,0.6,-0.20941749,0.25954825,0.06666667,-0.10283575,-0.14117071,0.016666671,0.26940453,2.6,0.008346566805732435,0.0037922108266614657,-0.0039020927229613117,0.009384038726512922,0.000730048415040844,0.002013089209793637,0.0013797684401383084,-0.003374636276598788,0.022373569722665708
GlaxoSmithKline,trial_33211,0.0,0.07859287,0.9,0.25588614,0.19055443,0.18333334,0.296898,0.43897557,0.13333334,0.18945926,2.6,-0.004835119508206843,-0.0052481271772851865,-0.0018889081607878244,0.008994069332518773,0.0017550204549274782,0.00020212594483492405,-0.0003031736744090626,-0.004612149111954264,0.023941347345607936
Hellenic Oncology Research Group,trial_35520,1.0,0.29823416,1.1,0.44615084,2.3983572,0.1,-0.10333274,-0.16731977,-0.06666667,2.333744,0.6,0.0032997577302157875,-0.0008061594446088458,-0.006100205392168438,0.004164868397030783,-0.00037308667292533266,0.0016880065345648162,-0.0011411166652453828,-0.0032839918474487765,-0.022979652787835224
Federico II University,trial_27452,0.0,0.4902011,1.4,-0.36707237,4.8,0.13333334,0.06328678,0.04371353,0.01666667,4.527858,2.1,-0.01943757356738206,0.004624927969439571,0.014896754779643704,0.03172974347643336,0.0004909516118289685,-0.0004804390502493565,0.0011493477691411874,0.005904255525860661,0.020102965036567184
Merck Sharp & Dohme LLC,trial_51862,0.0,-0.35975787,1.1,0.69354856,0.18069814,0.0,-0.12767017,-0.21492104,-0.18333332,0.13470227,2.1,-0.0036801120490417825,-0.00997739318659897,-0.0014620772730984098,-0.032402713762312144,-0.000931953665280084,0.0039721580206690844,-0.0023261201715696496,-0.004307060260091094,0.018787346489545602
Boehringer Ingelheim,trial_14190,0.0,-0.14999993,0.7,-0.23775041,0.14455852,0.033333335,-0.023504293,-0.027706932,0.13333333,0.12703627,1.0,0.0037903924811980697,0.007219092816059125,-0.0030754547710267013,0.0024597302062677267,-0.00010021217021720693,0.0017687330491494065,-0.004419355284486564,-0.00454733565234395,-0.008200030980093288
Hospices Civils de Lyon,trial_37105,1.0,-0.44185856,1.7,0.37085944,1.5868582,0.0,0.011806914,-0.09241347,-0.033333335,1.4225872,2.4,-0.03384305313942605,-0.0029754698776788143,0.004111528786241813,-0.032848655717279955,-5.7913576703160676e-05,0.002327738010744801,-0.0011204097830313418,0.0016816300400454877,0.02476858659122081
"Aldeyra Therapeutics, Inc.",trial_3261,0.0,-0.5619847,1.4,0.2840623,4.8525667,0.0,0.12990056,0.1454013,0.1,4.136345,1.0,-0.02452364248246886,-0.006119214371274655,0.01942074172067492,-0.03723849779145461,-0.00023279272114145238,-0.00018648487311438605,0.003711596821536939,0.004899689043092686,-0.009665678266872419
Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,trial_68058,0.0,0.1824028,0.3,-0.4158,0.39753595,0.18333334,0.08876498,0.17192353,-0.083333336,0.44845992,1.0,0.01953978609846672,0.015527524647536128,0.0002997365729672689,0.007707730506685622,0.0010197450079590643,0.0012929088091983795,-0.0016544455499047143,-0.0032783683232306196,-0.006558486308247666
Pfizer,trial_67236,0.0,0.6563486,0.8,0.18250102,0.08870637,0.35000002,0.0911874,0.097058915,0.05,0.09034907,1.9,-0.0003275090903334787,-0.0015085296782348981,-0.0056014226903187,0.07242679266011771,-0.0005013706406010279,0.00033973486407918804,0.0008681004100234586,-0.00842229416862777,0.013386811845732155
Medical University of Vienna,trial_49178,0.0,0.6734103,0.9,-0.12764487,1.701848,0.25,-0.0017863422,-0.036286086,0.016666656,2.0188909,2.8,-0.0009047735846834249,0.00842642145191638,0.0025579191054724594,0.03680786441582777,3.623786156649216e-05,0.0005016560164069512,0.0020620994497245774,0.008255343190466398,0.016049965837984927
Second Xiangya Hospital of Central South University,trial_73768,0.0,-0.20815612,0.4,0.1581804,6.90924,0.0,-0.04183928,-0.14009197,-0.083333336,4.205339,0.3,0.021386324070277622,0.0026918527965437444,-0.004469282678038454,-0.030262587496809386,0.0004213360068830377,0.0016099832594910427,-0.00010596241564898783,-0.013838437280292177,-0.028126836949639255
