model,bucket,n,auc,prauc
Baseline-3F+trends,1-2,2110,0.6200198300853601,0.27682203785958454
Baseline-3F+trends,3-5,1783,0.6620223246206404,0.30971872687273366
Baseline-3F+trends,6-10,16400,0.6439451497739859,0.29893024038612276
Baseline-7F+trends,1-2,2110,0.6572423431040961,0.29867235900567696
Baseline-7F+trends,3-5,1783,0.6727631242110467,0.3155717506017645
Baseline-7F+trends,6-10,16400,0.6490422719041271,0.3014835387500091
Combined-9+4,1-2,2110,0.6651534063456274,0.30034712157507676
Combined-9+4,3-5,1783,0.6873074512504083,0.31889506276790125
Combined-9+4,6-10,16400,0.6627875309056477,0.3124142610957421
GRU-9ch,1-2,2110,0.618599680571214,0.27008490481876685
GRU-9ch,3-5,1783,0.6528053635585216,0.29747503406311737
GRU-9ch,6-10,16400,0.6597629965981539,0.3060556094717312
Transformer-9ch,1-2,2110,0.636091929725667,0.2834861201461941
Transformer-9ch,3-5,1783,0.6538381751895693,0.2913352230921031
Transformer-9ch,6-10,16400,0.6593698279867668,0.3102498124992988
